cve_id,cve_year,published_date,base_score,nvd_present,jvn_present,eu_present,kev_present,source_list,sources,source_count,cwe_list,nvd_published,lastmodified,nvd_base_score,cvss_baseseverity,cvss_vectorstring,cvss_attackvector,cvss_version,cvss_exploitability,cvss_impact,cwes,vendors,products,is_known_exploited,jvn_published,jvn_base_score,jvn_cvss_severity,eu_published,dateupdated,exploitedsince,eu_base_score,basescorevector,basescoreversion,epss,assigner,kev_published,duedate,knownransomwarecampaignuse,kev_listed,published,severity,is_kev,desc_len,references_count,days_to_kev,repo_publication_lag,update_frequency,time_since_first_reference,cross_listing_count,cross_listing_std_days,cross_listing_variance,repo_coverage_vector,cwe_category,weakness_frequency,cwe_risk_factor,word_count,keyword_indicators,description,vendorProject,product,vulnerabilityName,description_nvd,description_jvn
CVE-2002-0367,2002.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2004-0210,2004.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2004-1464,2004.0,2023-05-19 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-19 00:00:00+00:00,2023-06-09 00:00:00+00:00,Unknown,True,2023-05-19 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2005-2773,2005.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2006-1547,2006.0,2022-01-21 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,Unknown,True,2022-01-21 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2006-2492,2006.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2007-0671,2007.0,2025-08-12 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2025-08-12 00:00:00+00:00,2025-09-02 00:00:00+00:00,Unknown,True,2025-08-12 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2007-1399,2007.0,2007-03-10 22:19:00+00:00,9.8,True,False,False,False,['NVD'],NVD,1,"[""NVD-CWE-Other""]",2007-03-10 22:19:00+00:00,2025-12-11 15:45:09.850000+00:00,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,NETWORK,3.1,3.9,5.9,NVD-CWE-Other,php | pierrejoye,php | php_zip,False,,,,,,,,,,,,,,,,2007-03-10 22:19:00+00:00,CRITICAL,False,,0,,0.0,6850.726502893519,,1,0.0,0.0,"{'nvd_present': 1, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2007-3010,2007.0,2022-04-15 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-15 00:00:00+00:00,2022-05-06 00:00:00+00:00,Unknown,True,2022-04-15 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2007-5659,2007.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2008-0655,2008.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2008-2992,2008.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Known,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2008-3431,2008.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-0557,2009.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-0563,2009.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-0927,2009.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-1123,2009.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-1151,2009.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-1862,2009.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-2055,2009.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-3129,2009.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-3953,2009.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-3960,2009.0,2022-03-07 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-07 00:00:00+00:00,2022-09-07 00:00:00+00:00,Known,True,2022-03-07 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2009-4324,2009.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-0188,2010.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Known,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-0232,2010.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-0738,2010.0,2022-05-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25 00:00:00+00:00,2022-06-15 00:00:00+00:00,Known,True,2022-05-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-0840,2010.0,2022-05-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25 00:00:00+00:00,2022-06-15 00:00:00+00:00,Unknown,True,2022-05-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-1297,2010.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-1428,2010.0,2022-05-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25 00:00:00+00:00,2022-06-15 00:00:00+00:00,Known,True,2022-05-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-1871,2010.0,2021-12-10 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-10 00:00:00+00:00,2022-06-10 00:00:00+00:00,Unknown,True,2021-12-10 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-2568,2010.0,2022-09-15 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-15 00:00:00+00:00,2022-10-06 00:00:00+00:00,Unknown,True,2022-09-15 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-2572,2010.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-2861,2010.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Known,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-2883,2010.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-3035,2010.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-3333,2010.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-3765,2010.0,2025-10-06 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00+00:00,2025-10-27 00:00:00+00:00,Unknown,True,2025-10-06 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-3904,2010.0,2023-05-12 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-12 00:00:00+00:00,2023-06-02 00:00:00+00:00,Unknown,True,2023-05-12 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-3962,2010.0,2025-10-06 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00+00:00,2025-10-27 00:00:00+00:00,Unknown,True,2025-10-06 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-4344,2010.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-4345,2010.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-4398,2010.0,2022-03-28 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-28 00:00:00+00:00,2022-04-21 00:00:00+00:00,Unknown,True,2022-03-28 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-5326,2010.0,2021-11-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-03 00:00:00+00:00,2022-05-03 00:00:00+00:00,Unknown,True,2021-11-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2010-5330,2010.0,2022-04-15 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-15 00:00:00+00:00,2022-05-06 00:00:00+00:00,Unknown,True,2022-04-15 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-0609,2011.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-0611,2011.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-1823,2011.0,2022-09-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-08 00:00:00+00:00,2022-09-29 00:00:00+00:00,Unknown,True,2022-09-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-1889,2011.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-2005,2011.0,2022-03-28 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-28 00:00:00+00:00,2022-04-18 00:00:00+00:00,Unknown,True,2022-03-28 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-2462,2011.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-3402,2011.0,2025-10-06 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2025-10-06 00:00:00+00:00,2025-10-27 00:00:00+00:00,Unknown,True,2025-10-06 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-3544,2011.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2011-4723,2011.0,2022-09-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-08 00:00:00+00:00,2022-09-29 00:00:00+00:00,Unknown,True,2022-09-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0151,2012.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0158,2012.0,2021-11-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-03 00:00:00+00:00,2022-05-03 00:00:00+00:00,Unknown,True,2021-11-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0391,2012.0,2022-01-21 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-21 00:00:00+00:00,2022-07-21 00:00:00+00:00,Unknown,True,2022-01-21 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0507,2012.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Known,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0518,2012.0,2022-03-28 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-28 00:00:00+00:00,2022-04-18 00:00:00+00:00,Unknown,True,2022-03-28 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0754,2012.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-0767,2012.0,2022-06-08 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-08 00:00:00+00:00,2022-06-22 00:00:00+00:00,Unknown,True,2022-06-08 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-1535,2012.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Unknown,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-1571,2012.0,,6.5,True,False,False,False,['NVD'],NVD,1,"[""CWE-119"",""CWE-125""]",,2025-12-04 21:16:03.980000+00:00,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H,NETWORK,3.1,2.8,3.6,CWE-119 | CWE-125,christos_zoulas | tim_robbins,file | libmagic,False,,,,,,,,,,,,,,,,,MEDIUM,False,,0,,,,,1,,,"{'nvd_present': 1, 'jvn_present': 0, 'eu_present': 0}",CWE-119,27.0,0.0,,,,,,,,
CVE-2012-1710,2012.0,2022-05-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-25 00:00:00+00:00,2022-06-15 00:00:00+00:00,Known,True,2022-05-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-1723,2012.0,2022-03-03 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-03 00:00:00+00:00,2022-03-24 00:00:00+00:00,Known,True,2022-03-03 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
CVE-2012-1823,2012.0,2022-03-25 00:00:00+00:00,,False,False,False,True,['KEV'],KEV,1,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-25 00:00:00+00:00,2022-04-15 00:00:00+00:00,Unknown,True,2022-03-25 00:00:00+00:00,NAN,True,,0,0.0,,,,0,,,"{'nvd_present': 0, 'jvn_present': 0, 'eu_present': 0}",,,,,,,,,,,
